kutti,standard
তুমি আমারে ভালা পাও নি,তুমি কি আমায় ভালবাসো
চল ঘুড্ডি উড়াই,চলো ঘুড়ি উরাই
আমি ছুটোবেলায় ম্যালা মেধাবী আছিলাম,আমি ছোটবেলায় অনেক মেধাবী ছিলাম
আমার নাওয়ে ঘুরতে ম্যালা ভালা লাগে,আমার নৌকায় ঘুরতে অনেক ভালো লাগে
জেলেরা মাছ ধরতাছে,জেলেরা মাছ ধরছে
আমি আম খামু,আমি আম খাবো
আম আমার পচন্দের ফল,আম আমার প্রিয় ফল
আইজকা তর ভাইরে দেকলাম,আজকে তোমার ভাইকে দেখলাম
তর গানের গলা ম্যালা ভালা,তোমার গানের গলা অনেক ভালো
আমি তর হাসির প্রেমে পইড়া গেছি,আমি তোমার হাসির প্রেমে পড়েছি
তর সংসারে কেডা কেডা আছে,তোমার পরিবারে কে কে আছে
আমি তর বাদামী চোখ জোড়া ভালা পাই,আমি তোমার বাদামী চোখ জোড়া ভালোবাসি
